,All,K04F10.4a.1.e1,K04F10.4a.1.e2,K04F10.4a.1.e3,K04F10.4a.1.e4,K04F10.4a.1.e5,K04F10.4a.1.e6,K04F10.4a.1.e7,K04F10.4a.1.e8,K04F10.4a.1.e9,K04F10.4a.1.e10,K04F10.4a.1.e11,K04F10.4a.1.e12,K04F10.4a.1.e13,K04F10.4a.2.e1,K04F10.4b.1.e1,K04F10.4b.1.e14,K04F10.4b.2.e1,K04F10.4c.1.e1,K04F10.4c.1.e13,K04F10.4c.1.e14,K04F10.4c.1.e15,K04F10.4c.1.e16,K04F10.4d.1.e1,K04F10.4d.1.e16,K04F10.4d.1.e17,K04F10.4d.1.e18,K04F10.4d.2.e1,K04F10.4e.1.e1,K04F10.4e.1.e12,K04F10.4f.1.e1,K04F10.4f.1.e12,K04F10.4g.1.e13,K04F10.4h.1.e1,K04F10.4h.1.e13,K04F10.4i.1.e12,K04F10.4j.1.e13,All_rpm,K04F10.4a.1.e1_rpm,K04F10.4a.1.e2_rpm,K04F10.4a.1.e3_rpm,K04F10.4a.1.e4_rpm,K04F10.4a.1.e5_rpm,K04F10.4a.1.e6_rpm,K04F10.4a.1.e7_rpm,K04F10.4a.1.e8_rpm,K04F10.4a.1.e9_rpm,K04F10.4a.1.e10_rpm,K04F10.4a.1.e11_rpm,K04F10.4a.1.e12_rpm,K04F10.4a.1.e13_rpm,K04F10.4a.2.e1_rpm,K04F10.4b.1.e1_rpm,K04F10.4b.1.e14_rpm,K04F10.4b.2.e1_rpm,K04F10.4c.1.e1_rpm,K04F10.4c.1.e13_rpm,K04F10.4c.1.e14_rpm,K04F10.4c.1.e15_rpm,K04F10.4c.1.e16_rpm,K04F10.4d.1.e1_rpm,K04F10.4d.1.e16_rpm,K04F10.4d.1.e17_rpm,K04F10.4d.1.e18_rpm,K04F10.4d.2.e1_rpm,K04F10.4e.1.e1_rpm,K04F10.4e.1.e12_rpm,K04F10.4f.1.e1_rpm,K04F10.4f.1.e12_rpm,K04F10.4g.1.e13_rpm,K04F10.4h.1.e1_rpm,K04F10.4h.1.e13_rpm,K04F10.4i.1.e12_rpm,K04F10.4j.1.e13_rpm
All,115367547,0,0,7,11,12,21,1,1,3,0,34,0,735,0,0,121,0,0,1,7,14,29,0,6,66,7263,4,0,0,0,1903,58,0,116,0,16,1e+06,0,0,0.0606756421717106,0.0953474376984023,0.104015386580075,0.182026926515132,0.00866794888167294,0.00866794888167294,0.0260038466450188,0,0.29471026197688,0,6.37094242802961,0,0,1.04882181468243,0,0,0.00866794888167294,0.0606756421717106,0.121351284343421,0.251370517568515,0,0.0520076932900376,0.572084626190414,62.9553127275905,0.0346717955266918,0,0,0,16.4951067218236,0.50274103513703,0,1.00548207027406,0,0.138687182106767
BWM_head_row_1,2785833,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,1,1,0,0,1,82,0,0,0,0,9,1,0,3,0,1,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0.717918123591759,0,0,2.15375437077528,0,0,0,0,0.358959061795879,0.358959061795879,0,0,0.358959061795879,29.4346430672621,0,0,0,0,3.23063155616291,0.358959061795879,0,1.07687718538764,0,0.358959061795879
unannotated,36382336,0,0,1,5,5,5,0,1,0,0,9,0,195,0,0,44,0,0,0,5,2,7,0,2,17,1817,2,0,0,0,510,21,0,44,0,8,1e+06,0,0,0.0274858656684387,0.137429328342193,0.137429328342193,0.137429328342193,0,0.0274858656684387,0,0,0.247372791015948,0,5.35974380534554,0,0,1.2093780894113,0,0,0,0.137429328342193,0.0549717313368773,0.192401059679071,0,0.0549717313368773,0.467259716363457,49.9418179195531,0.0549717313368773,0,0,0,14.0177914909037,0.577203179037212,0,1.2093780894113,0,0.219886925347509
BWM_anterior,5993191,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,1,66,0,0,0,0,18,2,0,2,0,0,1e+06,0,0,0.16685602044053,0,0,0.16685602044053,0,0,0,0,0,0,0.50056806132159,0,0,0.33371204088106,0,0,0,0.16685602044053,0.16685602044053,0,0,0,0.16685602044053,11.012497349075,0,0,0,0,3.00340836792954,0.33371204088106,0,0.33371204088106,0,0
AFD,196650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.255530129672,0,0,0,0,10.1703534197813,0,0,0,0,0
I2_grandparent,179003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1729971006073,0,0,0,0,16.7594956509109,0,0,0,0,0
